Metric,Model1,Model2,T-statistic,p-value,Significant (1%)
Accuracy,Linear SVM,Poly SVM,-1.0327966364565713e-15,0.9999999999999992,False
Accuracy,Linear SVM,RBF SVM,-1.3912166872805058,0.22288933713688314,False
Accuracy,Linear SVM,Logistic Regression,0.27735009811261363,0.7926128706672526,False
Accuracy,Linear SVM,Random Forest,-0.971625413446945,0.3758615186635822,False
Accuracy,Linear SVM,Gradient Boosting,-1.691920630481032,0.1514460269432964,False
Accuracy,Linear SVM,KNN,0.459121530862123,0.6654161616098261,False
Accuracy,Linear SVM,Decsion Tree,-0.8991013477539311,0.40980622960743546,False
Accuracy,Linear SVM,Bagging,-0.9715131257528857,0.37591226226396757,False
Accuracy,Linear SVM,Adaboost,-1.1656310103003928,0.2963393158104953,False
Accuracy,Linear SVM,Sigmoid SVM,0.5963118382339868,0.57693604766829,False
Accuracy,Linear SVM,Navie Bayse,-0.09002070714423971,0.9317656294034957,False
Accuracy,Poly SVM,RBF SVM,-1.9364916731037076,0.11056669073123566,False
Accuracy,Poly SVM,Logistic Regression,0.4152273992687003,0.6951922959317107,False
Accuracy,Poly SVM,Random Forest,-1.0476454436543674,0.3427798739990706,False
Accuracy,Poly SVM,Gradient Boosting,-1.8057877962865387,0.13077953820384697,False
Accuracy,Poly SVM,KNN,0.5583195306044413,0.6007027220701329,False
Accuracy,Poly SVM,Decsion Tree,-1.2179969144117246,0.2775605199635175,False
Accuracy,Poly SVM,Bagging,-1.1309596665849149,0.3093829752204211,False
Accuracy,Poly SVM,Adaboost,-1.024900077113484,0.3524131952019133,False
Accuracy,Poly SVM,Sigmoid SVM,0.8061435194835385,0.45677278587013953,False
Accuracy,Poly SVM,Navie Bayse,-0.09796391673838667,0.9257669109460199,False
Accuracy,RBF SVM,Logistic Regression,2.539166875385041,0.05194648484606855,False
Accuracy,RBF SVM,Random Forest,0.6201736729460408,0.5623122704704928,False
Accuracy,RBF SVM,Gradient Boosting,-0.4879500364742674,0.6462287559260278,False
Accuracy,RBF SVM,KNN,1.843908891458576,0.1245201096982188,False
Accuracy,RBF SVM,Decsion Tree,0.5423261445466397,0.6108811833962561,False
Accuracy,RBF SVM,Bagging,0.1428571428571423,0.8919814779905634,False
Accuracy,RBF SVM,Adaboost,0.27735009811261496,0.7926128706672517,False
Accuracy,RBF SVM,Sigmoid SVM,2.0323471117426504,0.09781807921564122,False
Accuracy,RBF SVM,Navie Bayse,1.1309596665849135,0.3093829752204216,False
Accuracy,Logistic Regression,Random Forest,-2.101441979727393,0.08958917392934111,False
Accuracy,Logistic Regression,Gradient Boosting,-4.02938643668981,0.010027273612010088,False
Accuracy,Logistic Regression,KNN,0.4357446703305942,0.6811920172097927,False
Accuracy,Logistic Regression,Decsion Tree,-2.1999999999999993,0.0790938979031824,False
Accuracy,Logistic Regression,Bagging,-1.8571428571428583,0.12241950226057106,False
Accuracy,Logistic Regression,Adaboost,-2.1483446221182976,0.08442154293648532,False
Accuracy,Logistic Regression,Sigmoid SVM,0.8811342210628021,0.4185802320330535,False
Accuracy,Logistic Regression,Navie Bayse,-0.4596385597769222,0.6650694104142114,False
Accuracy,Random Forest,Gradient Boosting,-2.7386127875258293,0.040859403859295894,False
Accuracy,Random Forest,KNN,1.9878664198647265,0.10353187917701788,False
Accuracy,Random Forest,Decsion Tree,1.6124532318559704e-15,0.9999999999999988,False
Accuracy,Random Forest,Bagging,-0.5976143046671966,0.5761317257177405,False
Accuracy,Random Forest,Adaboost,-0.307147558416973,0.7711118563588958,False
Accuracy,Random Forest,Sigmoid SVM,2.457180467335804,0.05742722438289942,False
Accuracy,Random Forest,Navie Bayse,1.3046561461068846,0.24882885339288743,False
Accuracy,Gradient Boosting,KNN,3.370999312316211,0.019868051523379407,False
Accuracy,Gradient Boosting,Decsion Tree,1.9364916731037116,0.11056669073123508,False
Accuracy,Gradient Boosting,Bagging,1.084652289093282,0.32758249926618466,False
Accuracy,Gradient Boosting,Adaboost,2.0761369963434992,0.09251500555042762,False
Accuracy,Gradient Boosting,Sigmoid SVM,4.567501391955697,0.006015590935586935,True
Accuracy,Gradient Boosting,Navie Bayse,3.0697030675746024,0.027793195443333186,False
Accuracy,KNN,Decsion Tree,-2.766992952647332,0.03950580967534135,False
Accuracy,KNN,Bagging,-3.0237157840738185,0.02929140326626835,False
Accuracy,KNN,Adaboost,-2.1255757547442573,0.08688962268453894,False
Accuracy,KNN,Sigmoid SVM,0.3779644730092288,0.7209712020732293,False
Accuracy,KNN,Navie Bayse,-0.8075728530872481,0.45602111641350684,False
Accuracy,Decsion Tree,Bagging,-0.7905694150420971,0.4650226382607559,False
Accuracy,Decsion Tree,Adaboost,-0.23702273156998785,0.8220441884436622,False
Accuracy,Decsion Tree,Sigmoid SVM,2.7937211830783135,0.03827626894253829,False
Accuracy,Decsion Tree,Navie Bayse,1.450952500220023,0.20649607521249372,False
Accuracy,Bagging,Adaboost,0.22249707974499386,0.8327301029268922,False
Accuracy,Bagging,Sigmoid SVM,2.9047375096555643,0.033604836673520384,False
Accuracy,Bagging,Navie Bayse,1.630820182633606,0.16385694799664607,False
Accuracy,Adaboost,Sigmoid SVM,2.5570415597837917,0.05082900076516207,False
Accuracy,Adaboost,Navie Bayse,2.2360679774997885,0.0755868184216125,False
Accuracy,Sigmoid SVM,Navie Bayse,-1.3968605915391572,0.22128923345344884,False
Precision,Linear SVM,Poly SVM,-1.0402466893439715,0.3458888602374425,False
Precision,Linear SVM,RBF SVM,-1.4088147993819458,0.21793586153738517,False
Precision,Linear SVM,Logistic Regression,-0.4193834240001986,0.6923449761891278,False
Precision,Linear SVM,Random Forest,-1.0423455938820074,0.3450044877384252,False
Precision,Linear SVM,Gradient Boosting,-1.720301292361894,0.1460053335784072,False
Precision,Linear SVM,KNN,-0.22699356178869962,0.8294177202465998,False
Precision,Linear SVM,Decsion Tree,-0.9372888191688827,0.39163965875403367,False
Precision,Linear SVM,Bagging,-1.0836875709930418,0.3279712523664001,False
Precision,Linear SVM,Adaboost,-1.3953136590561526,0.22172672254183182,False
Precision,Linear SVM,Sigmoid SVM,0.09753143013352282,0.9260933853800931,False
Precision,Linear SVM,Navie Bayse,-1.2635062755267947,0.2621158579699969,False
Precision,Poly SVM,RBF SVM,-0.3941389781986606,0.7097271496347095,False
Precision,Poly SVM,Logistic Regression,1.4080790869044133,0.21814084603663034,False
Precision,Poly SVM,Random Forest,0.436137764485244,0.6809251733932769,False
Precision,Poly SVM,Gradient Boosting,-0.3127526321760826,0.7670925721668473,False
Precision,Poly SVM,KNN,1.2309193934820006,0.27309344997257146,False
Precision,Poly SVM,Decsion Tree,0.4017861866276953,0.7044398085243697,False
Precision,Poly SVM,Bagging,0.176065984040042,0.8671509723664123,False
Precision,Poly SVM,Adaboost,0.14011652988186735,0.8940373944289245,False
Precision,Poly SVM,Sigmoid SVM,1.5021844150857893,0.19336042215190194,False
Precision,Poly SVM,Navie Bayse,-0.06194305528975642,0.9530080591851668,False
Precision,RBF SVM,Logistic Regression,2.042305660608816,0.09658466134685573,False
Precision,RBF SVM,Random Forest,0.9159415031335278,0.4017143925167182,False
Precision,RBF SVM,Gradient Boosting,-0.17918963573128152,0.8648237897480675,False
Precision,RBF SVM,KNN,1.5104569108097552,0.19131639060831013,False
Precision,RBF SVM,Decsion Tree,0.7569769755375186,0.48318803336232335,False
Precision,RBF SVM,Bagging,0.471163601731277,0.6573647698691456,False
Precision,RBF SVM,Adaboost,0.3905829345888869,0.7121921720149825,False
Precision,RBF SVM,Sigmoid SVM,1.8355264249908825,0.12586971483826734,False
Precision,RBF SVM,Navie Bayse,0.061843579417003934,0.9530834092760546,False
Precision,Logistic Regression,Random Forest,-1.453982798221637,0.20569584953108624,False
Precision,Logistic Regression,Gradient Boosting,-3.834697643737696,0.012189253519705111,False
Precision,Logistic Regression,KNN,0.23000980207760965,0.8271980183017947,False
Precision,Logistic Regression,Decsion Tree,-1.4459439932671514,0.20782522601912112,False
Precision,Logistic Regression,Bagging,-1.6667862953778974,0.1564337180080888,False
Precision,Logistic Regression,Adaboost,-1.656246419020948,0.15857374971136534,False
Precision,Logistic Regression,Sigmoid SVM,0.9851665259557214,0.36978311144600323,False
Precision,Logistic Regression,Navie Bayse,-1.2722135223085627,0.25925134660147275,False
Precision,Random Forest,Gradient Boosting,-3.8069665887938466,0.012538856984857646,False
Precision,Random Forest,KNN,1.4203569384840868,0.21474378939310093,False
Precision,Random Forest,Decsion Tree,-0.2118920671128881,0.8405578740679065,False
Precision,Random Forest,Bagging,-0.9726218772428845,0.3754114544570278,False
Precision,Random Forest,Adaboost,-0.8192366070078392,0.4499217008330886,False
Precision,Random Forest,Sigmoid SVM,2.219406068671492,0.07718586757397447,False
Precision,Random Forest,Navie Bayse,-0.5519522912697435,0.6047427901537764,False
Precision,Gradient Boosting,KNN,3.2094014531113344,0.023744597392163877,False
Precision,Gradient Boosting,Decsion Tree,2.2553467783200207,0.07378068653265708,False
Precision,Gradient Boosting,Bagging,1.6545263448065612,0.15892575327597055,False
Precision,Gradient Boosting,Adaboost,1.5483076105423679,0.1822283938136435,False
Precision,Gradient Boosting,Sigmoid SVM,4.824256257001779,0.004780525972041896,True
Precision,Gradient Boosting,Navie Bayse,0.26112791874964736,0.8044083221662143,False
Precision,KNN,Decsion Tree,-2.1474266290860515,0.08451960037016086,False
Precision,KNN,Bagging,-2.388257638671547,0.06252238257338977,False
Precision,KNN,Adaboost,-1.7221186931331003,0.14566369580613733,False
Precision,KNN,Sigmoid SVM,1.0473147163332355,0.34291834202952504,False
Precision,KNN,Navie Bayse,-1.9755297216895773,0.10517754743945583,False
Precision,Decsion Tree,Bagging,-1.5811383161405355,0.1746879298768676,False
Precision,Decsion Tree,Adaboost,-0.41370941514142606,0.6962337015371916,False
Precision,Decsion Tree,Sigmoid SVM,3.0352067118869615,0.0289087355961403,False
Precision,Decsion Tree,Navie Bayse,-0.5492687601869313,0.6064503396020231,False
Precision,Bagging,Adaboost,-0.0024549914762422844,0.9981361398710127,False
Precision,Bagging,Sigmoid SVM,3.31613382478112,0.021097681154463293,False
Precision,Bagging,Navie Bayse,-0.29504306516056905,0.7798194055442578,False
Precision,Adaboost,Sigmoid SVM,2.472403727222463,0.05636373175689203,False
Precision,Adaboost,Navie Bayse,-0.3606486566040877,0.7330977879488922,False
Precision,Sigmoid SVM,Navie Bayse,-2.319638232316639,0.06808426826063832,False
Recall,Linear SVM,Poly SVM,0.4948136706898415,0.6417052879938936,False
Recall,Linear SVM,RBF SVM,-0.5770537807976607,0.5889099409458571,False
Recall,Linear SVM,Logistic Regression,-0.2939113365933134,0.7806354304947534,False
Recall,Linear SVM,Random Forest,-0.7239498805439699,0.5015391810531453,False
Recall,Linear SVM,Gradient Boosting,-0.6268042136172396,0.5582910200735681,False
Recall,Linear SVM,KNN,0.4690052344367971,0.6588040430223272,False
Recall,Linear SVM,Decsion Tree,-0.5895471848012612,0.5811247207362267,False
Recall,Linear SVM,Bagging,-0.6808231799201281,0.526227907519101,False
Recall,Linear SVM,Adaboost,-0.6181439722704373,0.5635469269109301,False
Recall,Linear SVM,Sigmoid SVM,-0.40239341457014394,0.7040207705950094,False
Recall,Linear SVM,Navie Bayse,0.8971434821864555,0.41075527209763274,False
Recall,Poly SVM,RBF SVM,-2.3435586571562252,0.06608709593935946,False
Recall,Poly SVM,Logistic Regression,-1.4634357402034242,0.20321859718077018,False
Recall,Poly SVM,Random Forest,-1.7761555109038225,0.1358660308879303,False
Recall,Poly SVM,Gradient Boosting,-1.871780550546211,0.12013839081168516,False
Recall,Poly SVM,KNN,-0.031357855622261926,0.9761973773661834,False
Recall,Poly SVM,Decsion Tree,-1.444945911870363,0.20809107055660442,False
Recall,Poly SVM,Bagging,-1.6173483196337033,0.16672658439686056,False
Recall,Poly SVM,Adaboost,-1.531165482370144,0.18629098892263157,False
Recall,Poly SVM,Sigmoid SVM,-1.4387596972020344,0.20974605928681614,False
Recall,Poly SVM,Navie Bayse,0.4799826684276758,0.6515014324537601,False
Recall,RBF SVM,Logistic Regression,0.7053485160270372,0.5120876893668834,False
Recall,RBF SVM,Random Forest,-0.5228214059421264,0.6234302423035469,False
Recall,RBF SVM,Gradient Boosting,-0.048339990384782774,0.9633167748651544,False
Recall,RBF SVM,KNN,3.573753854664222,0.01598007463292524,False
Recall,RBF SVM,Decsion Tree,-0.04567339834149134,0.9653386048239472,False
Recall,RBF SVM,Bagging,-0.24833771570649885,0.8137502909344666,False
Recall,RBF SVM,Adaboost,-0.23304720503394147,0.824964589564849,False
Recall,RBF SVM,Sigmoid SVM,0.5133283183439115,0.629591134995183,False
Recall,RBF SVM,Navie Bayse,2.2415951675441876,0.0750642189055251,False
Recall,Logistic Regression,Random Forest,-1.4000656296146183,0.2203854072963708,False
Recall,Logistic Regression,Gradient Boosting,-1.2017852259018889,0.2832573679640788,False
Recall,Logistic Regression,KNN,2.7098083451602477,0.042285855858025335,False
Recall,Logistic Regression,Decsion Tree,-0.7208761557749384,0.5032716991116175,False
Recall,Logistic Regression,Bagging,-1.0297177132885593,0.3503540481660356,False
Recall,Logistic Regression,Adaboost,-1.3573122380749045,0.23273304561817962,False
Recall,Logistic Regression,Sigmoid SVM,-0.2092042911291254,0.8425451408860516,False
Recall,Logistic Regression,Navie Bayse,1.5137564559514054,0.19050696443017454,False
Recall,Random Forest,Gradient Boosting,0.7916816431296841,0.4644298543324023,False
Recall,Random Forest,KNN,5.714778202644493,0.002293155727164478,True
Recall,Random Forest,Decsion Tree,1.5804338562079843,0.17484647035193931,False
Recall,Random Forest,Bagging,0.293812809201418,0.7807064881493871,False
Recall,Random Forest,Adaboost,0.5028011423654948,0.6364632506298635,False
Recall,Random Forest,Sigmoid SVM,1.95356947175669,0.10817467201065953,False
Recall,Random Forest,Navie Bayse,2.6682646668211025,0.04444091334038337,False
Recall,Gradient Boosting,KNN,3.63909102220554,0.014917682200589926,False
Recall,Gradient Boosting,Decsion Tree,-0.016873702224919518,0.9871899889563371,False
Recall,Gradient Boosting,Bagging,-0.43306683863080514,0.683011212214284,False
Recall,Gradient Boosting,Adaboost,-0.361004902257842,0.7328473953001422,False
Recall,Gradient Boosting,Sigmoid SVM,0.6885474746423493,0.521746054221963,False
Recall,Gradient Boosting,Navie Bayse,2.2590273275162938,0.07344115374035004,False
Recall,KNN,Decsion Tree,-3.9779878430840547,0.010551848056065837,False
Recall,KNN,Bagging,-3.5091666683471634,0.017115893725793096,False
Recall,KNN,Adaboost,-4.5138037540329545,0.006318759358637578,True
Recall,KNN,Sigmoid SVM,-3.0776045042428826,0.02754452879001994,False
Recall,KNN,Navie Bayse,0.5682302063764685,0.5944465621130528,False
Recall,Decsion Tree,Bagging,-0.25482359571881213,0.8090084953266756,False
Recall,Decsion Tree,Adaboost,-0.4167319927238959,0.6941608280369835,False
Recall,Decsion Tree,Sigmoid SVM,0.8054308042337922,0.45714793818298843,False
Recall,Decsion Tree,Navie Bayse,2.329744139420016,0.06723268362278553,False
Recall,Bagging,Adaboost,-0.0016162670818123657,0.9987729090475189,False
Recall,Bagging,Sigmoid SVM,0.8243407879900607,0.44727182807943616,False
Recall,Bagging,Navie Bayse,2.308609274714572,0.06902689725227329,False
Recall,Adaboost,Sigmoid SVM,0.8106597620565615,0.4544008886696627,False
Recall,Adaboost,Navie Bayse,2.0891725032589377,0.09099543042171555,False
Recall,Sigmoid SVM,Navie Bayse,2.8687615989821964,0.03504533454017163,False
F1,Linear SVM,Poly SVM,0.022605637942095583,0.9828392510626671,False
F1,Linear SVM,RBF SVM,-1.0219196726992124,0.3536921346471486,False
F1,Linear SVM,Logistic Regression,-0.4934690893523321,0.6425900556120824,False
F1,Linear SVM,Random Forest,-0.926182782968049,0.3968556137355641,False
F1,Linear SVM,Gradient Boosting,-1.10711375293557,0.31864244673902775,False
F1,Linear SVM,KNN,0.06446091083765715,0.9511010443509039,False
F1,Linear SVM,Decsion Tree,-0.8025962340551166,0.45864223694186756,False
F1,Linear SVM,Bagging,-0.9257393153725797,0.3970650347454528,False
F1,Linear SVM,Adaboost,-0.9443029380667285,0.3883738832806313,False
F1,Linear SVM,Sigmoid SVM,-0.29349232431712763,0.7809376376506876,False
F1,Linear SVM,Navie Bayse,0.41118630736364614,0.6979663457964909,False
F1,Poly SVM,RBF SVM,-2.135271685018736,0.08582939761544196,False
F1,Poly SVM,Logistic Regression,-1.178679701030315,0.2915572304884348,False
F1,Poly SVM,Random Forest,-1.7033733224515617,0.14922642669860794,False
F1,Poly SVM,Gradient Boosting,-2.2167602323917004,0.07744309431512623,False
F1,Poly SVM,KNN,0.0949628193844604,0.9280327094451164,False
F1,Poly SVM,Decsion Tree,-1.455327027052379,0.20534182328314607,False
F1,Poly SVM,Bagging,-1.5476304650297805,0.18238722234064628,False
F1,Poly SVM,Adaboost,-1.6507331177781601,0.159704766571167,False
F1,Poly SVM,Sigmoid SVM,-0.8607566886050879,0.4287073848364987,False
F1,Poly SVM,Navie Bayse,0.8441174711291901,0.43711562589442654,False
F1,RBF SVM,Logistic Regression,2.1521250497186606,0.08401899763273794,False
F1,RBF SVM,Random Forest,0.20108123527628302,0.8485591193000954,False
F1,RBF SVM,Gradient Boosting,-0.47623642634302027,0.6539886631287204,False
F1,RBF SVM,KNN,3.751780860088677,0.013269350427715912,False
F1,RBF SVM,Decsion Tree,0.6663663439633327,0.5346858524018634,False
F1,RBF SVM,Bagging,-0.012180308596295463,0.9907528211259983,False
F1,RBF SVM,Adaboost,0.08380088137015655,0.9364664585502138,False
F1,RBF SVM,Sigmoid SVM,2.8957595581109485,0.03395804209439742,False
F1,RBF SVM,Navie Bayse,2.9943372644566923,0.030295809307077745,False
F1,Logistic Regression,Random Forest,-2.082659187006814,0.09175138716266482,False
F1,Logistic Regression,Gradient Boosting,-3.3302226683290126,0.020773896097671708,False
F1,Logistic Regression,KNN,2.3063638872369996,0.0692205211502053,False
F1,Logistic Regression,Decsion Tree,-1.7471317056870037,0.14104271393106863,False
F1,Logistic Regression,Bagging,-1.5207886352396143,0.18879293316055126,False
F1,Logistic Regression,Adaboost,-2.517393913981786,0.053344088825002085,False
F1,Logistic Regression,Sigmoid SVM,0.9111461977072327,0.4040056048705749,False
F1,Logistic Regression,Navie Bayse,1.8276622215191618,0.12714948481278046,False
F1,Random Forest,Gradient Boosting,-0.9809047325419719,0.3716874238765555,False
F1,Random Forest,KNN,3.6124411568352697,0.015340967942301898,False
F1,Random Forest,Decsion Tree,1.040399137339251,0.3458245621402744,False
F1,Random Forest,Bagging,-0.22828313836886063,0.8284684768855094,False
F1,Random Forest,Adaboost,-0.11050798848833607,0.9163051732680251,False
F1,Random Forest,Sigmoid SVM,3.087334172316074,0.02724174990554204,False
F1,Random Forest,Navie Bayse,3.054199026889291,0.028288478575908514,False
F1,Gradient Boosting,KNN,3.820793846493372,0.012363120199938503,False
F1,Gradient Boosting,Decsion Tree,1.1993356836090394,0.28412718743293786,False
F1,Gradient Boosting,Bagging,0.4723574906481047,0.6565693655435623,False
F1,Gradient Boosting,Adaboost,0.9101771184572788,0.40446988799991285,False
F1,Gradient Boosting,Sigmoid SVM,4.073293606873735,0.009602844399385826,True
F1,Gradient Boosting,Navie Bayse,3.376218843450875,0.01975536655050933,False
F1,KNN,Decsion Tree,-3.7276019666915263,0.013604682282839972,False
F1,KNN,Bagging,-3.3482186944567345,0.020368470745420045,False
F1,KNN,Adaboost,-3.3150188043164945,0.021123549172731147,False
F1,KNN,Sigmoid SVM,-1.6495756794398053,0.1599432246552072,False
F1,KNN,Navie Bayse,0.6367582781997914,0.5522889934255168,False
F1,Decsion Tree,Bagging,-0.6318292644565111,0.5552558100912166,False
F1,Decsion Tree,Adaboost,-0.8127920087447603,0.45328424270577117,False
F1,Decsion Tree,Sigmoid SVM,2.154997301490287,0.08371451717178101,False
F1,Decsion Tree,Navie Bayse,2.4304396240256136,0.059348504371756004,False
F1,Bagging,Adaboost,0.14694037622036127,0.8889201618353004,False
F1,Bagging,Sigmoid SVM,2.418625387640887,0.060219456180657015,False
F1,Bagging,Navie Bayse,2.802714817154915,0.03787213127272741,False
F1,Adaboost,Sigmoid SVM,2.497843764159959,0.054634024602441295,False
F1,Adaboost,Navie Bayse,2.677498994532101,0.04395162506945754,False
F1,Sigmoid SVM,Navie Bayse,2.0660506179443523,0.0937091178978466,False
